x,y
-100.0,10191.079608694885
-99.99,10190.20940635768
-99.97999999999999,10189.474626911733
-99.96999999999998,10188.58807321645
-99.95999999999998,10187.656460956347
-99.94999999999997,10186.567100427039
-99.93999999999997,10185.606569726473
-99.92999999999996,10184.540845236443
-99.91999999999996,10183.609245866515
-99.90999999999995,10182.431212746553
-99.89999999999995,10181.501510000002
-99.88999999999994,10179.765091585523
-99.87999999999994,10177.90820758764
-99.86999999999993,10175.944594186787
-99.85999999999993,10173.97517009282
-99.84999999999992,10172.037130119914
-99.83999999999992,10170.020770584702
-99.82999999999991,10167.75106886514
-99.81999999999991,10165.872381288313
-99.8099999999999,10164.169563342151
-99.7999999999999,10162.243565224795
-99.78999999999989,10160.34928265921
-99.77999999999989,10158.476603519744
-99.76999999999988,10156.381058874065
-99.75999999999988,10154.484984373072
-99.74999999999987,10152.428331292567
-99.73999999999987,10150.29733043031
-99.72999999999986,10148.441790764204
-99.71999999999986,10146.588091390664
-99.70999999999985,10144.302244803559
-99.69999999999985,10142.234988471353
-99.68999999999984,10140.052165984496
-99.67999999999984,10138.083494817853
-99.66999999999983,10135.72010159638
-99.65999999999983,10133.886120316381
-99.64999999999982,10131.507811981974
-99.63999999999982,10129.398647857719
-99.62999999999981,10127.428713344012
-99.6199999999998,10125.68793472918
-99.6099999999998,10123.419033536178
-99.5999999999998,10121.323891435459
-99.58999999999979,10118.862162794516
-99.57999999999979,10116.744999227458
-99.56999999999978,10114.578934200486
-99.55999999999977,10112.573599780251
-99.54999999999977,10110.23137928721
-99.53999999999976,10108.279903273335
-99.52999999999976,10106.284310966146
-99.51999999999975,10103.9884689784
-99.50999999999975,10101.831672207034
-99.49999999999974,10100.085080432342
-99.48999999999974,10098.078703076122
-99.47999999999973,10096.111838610697
-99.46999999999973,10094.195759923308
-99.45999999999972,10092.12464857599
-99.44999999999972,10090.19808062576
-99.43999999999971,10088.348475540664
-99.42999999999971,10086.460995823667
-99.4199999999997,10084.114535323235
-99.4099999999997,10081.956596584732
